date,close,open,high,low,volume,Change %
2021-01-26,1536.11,1538.03,1548.61,1516.81,53000000000.0,-0.27
2021-01-25,1540.21,1556.57,1560.13,1536.97,48099999999.99999,-0.15
2021-01-22,1542.45,1551.47,1555.59,1525.93,46900000000.00001,-0.59
2021-01-21,1551.57,1578.03,1582.04,1551.57,56100000000.0,-1.13
2021-01-20,1569.35,1573.37,1574.3,1552.1,45599999999.99999,0.28
2021-01-19,1565.01,1569.56,1578.3,1561.02,48400000000.0,0.53
2021-01-18,1556.77,1525.45,1558.81,1508.9,46800000000.0,2.12
2021-01-15,1524.49,1536.82,1547.84,1516.14,47600000000.0,-1.43
2021-01-14,1546.6,1567.11,1568.06,1542.17,48099999999.99999,-0.81
2021-01-13,1559.28,1559.77,1567.88,1545.26,48800000000.0,0.63
2021-01-12,1549.53,1549.04,1556.35,1537.38,51700000000.0,0.87
2021-01-11,1536.19,1539.96,1557.45,1522.25,54100000000.0,-0.29
2021-01-08,1540.61,1526.51,1542.75,1519.8,55000000000.0,1.21
2021-01-07,1522.24,1511.6,1522.7,1505.7,61800000000.0,1.12
2021-01-06,1505.42,1501.61,1509.49,1497.09,53300000000.0,1.06
2021-01-05,1489.56,1492.19,1506.89,1474.76,66600000000.0,-0.39
2021-01-04,1495.43,1482.17,1500.01,1478.7,51700000000.0,1.27
2020-12-31,1476.72,1480.81,1484.37,1470.28,34200000000.0,-0.22
2020-12-30,1479.91,1463.07,1483.16,1463.07,41900000000.00001,1.39
2020-12-29,1459.69,1442.97,1459.69,1436.21,34200000000.0,1.42
2020-12-28,1439.29,1431.67,1442.79,1431.67,29800000000.0,0.93
2020-12-25,1426.03,1429.07,1438.49,1422.71,26300000000.0,0.0
2020-12-24,1426.0,1420.15,1432.28,1415.35,52600000000.0,0.59
2020-12-23,1417.66,1409.15,1420.77,1409.15,51300000000.0,0.9
2020-12-22,1404.97,1393.57,1410.82,1391.69,45100000000.0,1.48
2020-12-21,1384.43,1401.65,1401.65,1368.58,50000000000.0,-1.7
2020-12-18,1408.32,1398.26,1410.32,1396.03,44600000000.0,0.64
2020-12-17,1399.36,1403.1,1406.1,1392.47,44500000000.0,0.5
2020-12-16,1392.45,1404.25,1409.78,1384.98,50199999999.99999,-0.21
2020-12-15,1395.4,1392.74,1399.86,1385.19,52800000000.0,0.49
2020-12-14,1388.55,1378.19,1394.58,1378.19,46300000000.0,1.3
2020-12-11,1370.7,1351.84,1371.0,1342.58,51500000000.0,1.28
2020-12-10,1353.36,1353.39,1366.78,1346.52,59000000000.0,0.23
2020-12-09,1350.32,1342.42,1360.63,1342.42,55100000000.0,0.78
2020-12-08,1339.89,1331.63,1348.3,1331.63,53099999999.99999,0.75
2020-12-07,1329.9,1329.96,1336.68,1326.13,48800000000.0,-0.07
2020-12-04,1330.87,1331.62,1337.88,1326.2,53000000000.0,0.0
2020-12-03,1330.85,1327.62,1335.77,1315.52,57400000000.0,0.4
2020-12-02,1325.49,1326.76,1338.95,1318.39,45700000000.0,0.02
2020-12-01,1325.29,1302.25,1325.29,1287.62,46100000000.0,3.25
2020-11-30,1283.58,1314.43,1316.52,1283.58,51200000000.0,-3.4
2020-11-27,1328.73,1348.47,1351.65,1324.72,56100000000.0,-1.02
2020-11-26,1342.49,1334.67,1343.93,1326.06,42500000000.0,1.28
2020-11-25,1325.47,1330.07,1341.91,1323.42,55800000000.0,0.34
2020-11-24,1320.98,1323.16,1334.26,1308.69,69900000000.0,0.51
2020-11-23,1314.25,1329.29,1336.14,1299.27,58400000000.0,-0.73
2020-11-20,1323.95,1315.69,1328.33,1315.59,48099999999.99999,0.83
2020-11-19,1313.02,1293.73,1325.7,1277.69,94600000000.00002,1.41
2020-11-18,1294.72,1264.06,1294.72,1264.06,63099999999.99999,2.78
2020-11-17,1259.72,1291.65,1293.01,1259.69,45599999999.99999,-2.57
2020-11-16,1292.99,1304.7,1309.98,1291.48,43400000000.0,0.13
2020-11-13,1291.29,1277.06,1292.83,1272.76,53900000000.0,1.54
2020-11-12,1271.75,1284.52,1303.81,1262.58,88600000000.0,-0.58
2020-11-11,1279.22,1249.87,1284.62,1248.43,86600000000.0,2.91
2020-11-10,1243.0,1226.73,1244.37,1218.83,51300000000.0,0.93
2020-11-09,1231.54,1214.42,1235.3,1211.16,59600000000.0,3.32
2020-11-06,1191.96,1180.49,1192.24,1177.05,46800000000.0,1.01
2020-11-05,1180.02,1172.77,1184.61,1165.83,49700000000.0,1.06
2020-11-04,1167.65,1155.48,1170.94,1154.0,46900000000.00001,1.47
2020-11-03,1150.71,1138.6,1155.96,1122.64,44400000000.00001,1.51
2020-11-02,1133.59,1119.72,1143.45,1117.68,55700000000.0,1.91
2020-10-30,1112.37,1120.85,1120.85,1095.72,66000000000.0,-1.3
2020-10-28,1126.99,1150.1,1152.61,1126.99,25200000000.0,-2.22
2020-10-27,1152.63,1143.89,1157.87,1133.73,51500000000.0,0.71
2020-10-26,1144.45,1183.61,1183.61,1141.58,55900000000.0,-3.88
2020-10-23,1190.63,1200.38,1204.55,1179.46,44000000000.0,-0.64
2020-10-22,1198.32,1213.64,1216.03,1196.58,56700000000.0,-1.09
2020-10-21,1211.51,1220.88,1222.95,1209.31,41300000000.0,0.09
2020-10-20,1210.41,1208.24,1213.65,1202.35,42400000000.0,0.42
2020-10-19,1205.37,1195.46,1209.47,1195.46,42400000000.0,1.06
2020-10-16,1192.73,1184.97,1193.83,1183.08,39500000000.0,1.04
2020-10-15,1180.43,1188.41,1191.52,1175.2,44100000000.0,-0.74
2020-10-14,1189.29,1177.08,1189.66,1172.59,58600000000.0,1.24
2020-10-13,1174.7,1180.98,1181.57,1170.79,39100000000.0,-0.31
2020-10-12,1178.35,1169.16,1181.57,1169.12,42500000000.0,1.09
2020-10-09,1165.7,1152.78,1166.5,1150.97,36600000000.0,1.32
2020-10-08,1150.49,1156.74,1159.41,1143.33,31600000000.0,-0.17
2020-10-07,1152.41,1150.1,1156.88,1147.43,32500000000.0,-0.11
2020-10-06,1153.71,1165.12,1170.48,1153.71,37100000000.0,-0.6
2020-10-05,1160.71,1150.79,1161.03,1150.79,25400000000.0,1.37
2020-10-02,1145.03,1138.91,1150.35,1137.55,34500000000.0,0.13
2020-10-01,1143.51,1150.07,1155.38,1142.77,35100000000.0,-0.15
2020-09-30,1145.24,1128.96,1146.73,1128.96,43099999999.99999,1.96
2020-09-29,1123.25,1123.65,1132.27,1112.39,38000000000.0,0.19
2020-09-28,1121.17,1124.68,1130.68,1116.34,33400000000.0,-0.27
2020-09-25,1124.17,1129.03,1135.07,1123.76,39900000000.0,0.41
2020-09-24,1119.56,1098.88,1120.73,1097.01,40900000000.0,1.53
2020-09-23,1102.65,1101.04,1109.81,1098.82,29900000000.000004,0.59
